,arg_id,LocalAcceptability,Cogency,LocalRelevance,LocalSufficiency,Text
13,arg168804,2,1,2,1,"Faquhar solved the problems in Singapore using cash from his own pocket. When Singapore was once infested with rats and centipedes, Farquhar rewarded the people with coins for every pest they catch. This solved the problem quickly, as he held to his promise."
14,arg168774,3,2,3,2,"Farquhar was the one to implement the actual operations, whereas Raffles only came up with the ideas, which would or would not work. Actions require action, and Farquhar implemented those ideas."
15,arg168830,2,1,2,1,"Raffles came and left Singapore, returning after a long period of time. Farquar stayed here all the time, and solved many problems. Raffles did not do much at all compared to Farquar."
16,arg168807,2,1,2,1,William Farquhar had helped more citizen of Singapore than Raffles did. Raffles was just more of the idea man. William Farquhar was more of a founder of Singapore than Raffles.
17,arg168779,1,1,1,1,Farquhar was unjustly exiled by Raffles even though William had done a lot to help Singapore.
18,arg168818,2,1,2,1,"To me, a founder would be a leader, well respected by the organisation/group he is managing. Both Raffles and Farquhar were good leaders. However, when William Farquhar was sent off to Britain, more people went to send him off than the combined number of people that sent Raffles off during the three times Raffles left Singapore. This shows that the people of Singapore respected Farquhar more than Raffles, and to them, Farquhar was a more competent leader."
19,arg168801,2,1,2,1,"Farquhar contributed significantly, even forking out his own money to start up the colony carved out of the jungle, by first offering money as an incentive for people to hunt and to exterminate rats and centipedes. Raffles did nothing of that sort."
20,arg336563,1,1,2,1,"Yes because that way the child can learn not to do it again because it really hurt, and i know this from experience."
21,arg334884,1,1,2,1,"I believe so, it should be used as a last resort at least because I being a sibling of three, was spanked along with my sister and turned out to be disciplined and on the other hand our youngest sister has never been spanked and she tends to make more mistakes even now that shes 10 than we did."
22,arg335047,1,1,2,1,"Parents should use spanking as an option to discipline only when it's needed. If the child doesn't follow the correct behavior that they should follow after several times being warned, then that is when the child deserves a spanking."
23,arg336222,1,1,2,1,"Humans have been raised for thousands of years with not near as much resentment towards spanking and today's kids are the unruliest there are...

There's a trend...

(I do admit it's not purely spanking that's the cause but it's a small part of the bigger picture)"
24,arg335090,1,1,2,1,Yes I believe you should spank a child only when they know they are wrong. The child will understand more if he is scared to do the same mistake. Actions speak louder than words.
25,arg335089,1,1,2,1,yes because if they fear getting hit than they wont do it again
26,arg334924,1,1,2,1,"because depending on the punishment you give a child it doesn't always work, some kids need need that. because just sitting them in punishment its a possibility they will do it again."
27,arg334959,2,2,3,1,"yea, because even though there are many other different ways to discipline kids, sometimes it won't work so they need a little spank, just to make them learn they were wrong. don't always be spanking them for no reason, that's bad"
28,arg334973,1,1,2,1,"Yes, parents should use spanking as an option to discipline their children, but it should be the last option."
29,arg335097,1,1,2,1,"In my opinion, I strongly agree that parents should use spanking as an option to discipline their children because the spankings are painful enough for children to learn to avoid doing the wrong things."
30,arg335095,2,2,2,2,"Spanking should not be an option to discipline a child, parents have a lot other options before spanking. Its better to talk to them about what they did wrong and solve the problem in a proper way."
31,arg336204,2,2,3,2,"I strongly believe parents should not use physical punishment like spanking to discipline their child. The child will obey if they have a strong healthy relationship with a parent, if they have gained their respect. The parents should have a friendly relationship with their child and the child will soon respect them and agree to what their parents decide although they may not like it. They will learn that the parents know whats best for them."
32,arg335564,3,3,3,2,"Nope. I believe it shouldnt be done just to discipline a child. Parents could just scold their child just so they would stop what they are doing wrong. Hitting is not really a solution because aside hurting a child emotionally, it also hurts them physically. Kids wouldnt learn the value of respect for their parents because they would only learn how to be scared. They wont do the wrong action again next time, not because they've learned their lesson, but because they are just scared that their parents would hit them"
33,arg335129,2,1,2,1,"I don't think anybody would have liked to get spanked by there parents therefore , spanking shouldn't be an Option"
34,arg334934,2,2,3,2,"A parent shouldn't use spanking as an option to discipline a child because they might grow up traumatized and they might feel unloved since they would get spanked a lot, that will cause a low self of esteem. Also spanking shouldn't be an option because at that moment the parent would be full with anger and they wouldn't be thinking logically."
35,arg335091,2,2,2,2,Parents shouldn't use spanking as an option to discipline it just makes the child get mad than to see what they did wrong.
36,arg336179,2,2,2,1,No because hitting your child could mentally scar them for life. also it can make them think hitting their kids is alright.
37,arg334943,2,1,2,1,"No because spanking might effects the relationship between the child and parents. And Children can pick up on the parents attitude acting violent. There are better ways to solve problems, for example using the other techniques."
38,arg334968,2,2,2,2,Physical abuse towards children causes them to fear their parents and may cause a stutter.
39,arg335030,2,1,2,1,"Some kids don't learn by spanking them..So why waste your time on that, when you can always take something valuable away from them."
40,13279,1,1,2,1,"In Nebraska, it's legal to have an abortion by killing the baby while it's coming out of the womb. How can you argue against that?"
41,13275,2,1,2,1,"""The government has no place to tell a woman what she can do with her own body, ever.""

The government DOES have that right.

1) a woman cannot legally prostitute herself in many states

2) a woman cannot take illicit drugs into her own body

3) a woman cannot use her body to murder others

4) a woman cannot use her body to steal

5) a woman cannot display her naked body in public

there are many others. Men can also not do these things.

The government tells us what to do with our bodies ALL THE TIME. This is no different."
42,30319,2,1,2,1,Statistics prove that less than 1% of women who are raped get pregnant because of the adrenalin rush. We have no right to take an unborn child's life. There are ways to avoid the situation of abortion. The woman can have the baby and give it up for adoption or raise it as their own because the woman is the still the child's biological mother. There are thousands of people on the waiting list for another baby to add to their family. DO NOT let anyone tell you otherwise because they obviously havn't been in the situation of adoption or abortion.
43,76937,2,1,2,1,I choose life. Keeping the law pro-choice is allowing women to murder their own unborn human child.
44,75146,2,1,2,1,what we are dealing with is indirect murder if a women decides to abort a child she just had killed a life that may have been a big contribution to society
45,13259,2,1,2,1,"Nobody has the right to tell you what to do with your body, but if that which you are trying to rid off moves away at the first sign of pain, without you feeling it, then ""that"" is no longer yours, since it feels outside your own."
46,70668,2,2,2,2,"There is only one situation in which I believe abortion is okay.

If a mother is incapable of giving birth to the child, and attempting it might kill her, I believe abortion is sad, but necessary.

Otherwise, no one has the right to kill a child, born or unborn."
47,13260,2,2,3,2,"There are tons of ways to not get pregnant. There are condoms (99% effective) for men and women, there are morning-after pills (75% effective), the patch, pill, and other forms of ways not to get pregnant. It's the woman's fault that she didn't do it.

And maybe instead of Pro-choice vs. Pro-life, they (i don't know who ""they"" is) should have pro-life, but with exceptions (i.e. women that get raped) so that it's fair all-around."
48,13270,1,2,2,1,"""If a women is raped"" is a good argument. However why would you punish an innocent baby with the death penalty for some other man's crime. If the women does not want the child she could give it up for adoption. I just dont understand why you would kill the baby, the emotional trauma would happen without the baby as well."
49,54474,2,1,3,2,"A growing embryo is considered human with the heartbeats initiating as early as 21st day of conception. So what if we cannot see the human form, it does have the potential to gain one.

Around 60% of abortions are performed on never married women. Why can't women give the baby up for adoption instead, even if she is raped. If your raped does that give you the right to got out and kill someone?"
50,63512,2,2,3,2,"Here's a story for you from a few years back. A nine year old girl living in poverty in South America was raped by her step dad, and got pregnant with twins. Her family knew that she would die in childbirth, but she was not allowed to get an abortion because they were devout catholics. Both her and her two children died. That's three lives lost. One of those lives actually knew what life was."
51,1661,2,1,2,1,While I personally do not think that abortion is right in any way shape or form. I do not believe the government has the right to make that decision. This is a decision to be made by the parents of the unborn child. NOT the government.
52,74039,2,1,2,1,"You don't know these girl's/women's stories, who are you to judge what they can or can't do? Until you've walked a mile in these girl's/women's shoes, than you may have the opportunity to speak on their behalf. Until then, you may not have to like it and may stand firm with your opinion, but at least have the audacity to respect other's opinions on the subject matter."
53,28415,3,2,3,2,"Giving up a child has to be one of the most responsible decisions a woman can make in her life. Have you any idea the responsibility and maturity it takes to make such an important decision?

If a woman can not support a child(Either emotionally, physically, or financially) she should have right to choose to give up that child."
54,1683,1,1,2,1,"In the United States of America, pro-choice is the only constitutional way to go. Elsewhere in the world, people will do whatever they want."
55,37929,2,2,3,2,"Im going to take the Obama approach to this

Abortion is never something a women would take lightly there will always be a lot of thinking asking for help and even praying involved with making that decision. The pro-life people just don't seam to understand that we also think the abortion is a sad and awful thing and we pro-choicers hope nobody would ever have to make this difficult and life altering situation. there for this decision should be left to the women and not some man miles away in d.c. that has never faced it"
56,1633,2,1,3,1,"If a woman is raped and left with the bastard child of the man who raped her and severely emotionally traumatized her, she should have the decision to give up that baby. Certain circumstances call for desperate decisions and this is one, the choice should be her's to make and she should be allowed to make it."
57,28498,1,1,2,1,"The only other choices are, adoption or keep it.

And I know many children get adopted but many don't

and it might be better off to just have an abortion to

let them suffer.

That's the chance they take, I guess. But who are we to

decide one womans pregnancy."
58,1641,2,2,3,2,"Surely if we are worried about the feelings of unborn children within the first few months of pregnancy, than we should first be worried about protecting the rights of far more conscious animals, such as fully-developed primates.

If its isn't their feelings we are worried about, then I guess I am very confused about the pro-life point of view."
59,69016,2,1,2,1,Who are we to judge what is right or wrong? Can we not just let people make decisions and live with the consequences?
60,arg126375,2,2,3,2,"well, India is finding difficult to manage itself first...so there's no question of leading the world so far....but still if we compare so lets have a look at the following points:

1. almost 90% of India is illiterate(don't be sure of the percentage), so an illiterate country can't lead the world....

2.India is more into castes, politics, religions and less into development.

3.the most important thing is that India doesn't have confidence on itself and is still cursing itself...

So if it goes on so then it is difficult or even impossible to say that ""INDIA WILL LEAD THE WORLD WHEN IT CANNOT LEAD ITSELF!!"""
61,arg145468,2,2,2,2,"All we can say is a big IF because we are not yet 100% sure if this nation itself could lead the whole world. Who knows maybe in the future that India could fail to lead us. There are still other countries who are more progressive, more literated, more powerful than India, like the USA, United Kingdom, Russia, Japan, etc. This nation doesn't have yet enought potentials and ability to sustain the needs of the people. India is not yet that full of technologies like in the Americas. Well in fact technology is one of the most sophisticated and essential inventions ever created."
62,arg122478,2,1,2,1,"i think, the india is not ready to lead the world because of many reasons..

1.) the politians of our country are involved in black money cases. they try to gain or earn money as possible.

2.) they always try to make a big issue of useless topics. e.g., if a politian says something about another politian, they try to make it a big issue ."
63,arg118660,2,2,2,1,"India has the potential to lead because it has the second largest man power n third largest army in the world n it is a country full of hopes n aspirations n for Indians nothing is impossible, n we r proud to be Indians n we will lead the world n be the king of the world in every manner. even 34% scientists in NASA are Indians."
64,arg108959,2,2,2,1,india is is good adopter but a bad developer and leader should be a great developer
65,arg118518,2,1,2,2,"India... where they have like a whole class of opressed people and a huge wealth differences? And with a language that the majority of the world can't understand and doesn't want to understand? India's education quality has nothing compared to Western education and it's the superpowers that control the world's economy.

I highly doubt India will ever lead the world, and it doesn't even have the potential to. It should leave that to the superpowers."
66,arg132199,1,1,2,1,"according to a recent report 50% scientists in NASA are indian IITians, just imagine that if those scientists will join ISRO then our status,value and astronomical knowledge of india will definetly increase.

Now,think abt. IITians,students who are qualifying iit, they are known to be superbrain.If India is capable of opening hitech institutions,then why we are unable provide them a perfect job of their level.we are giving international status of education.then why unable to take best advantages from them.this is due to brain drain,lack of industrial development,suitable working environment as well as proper salary.so its the need of the hour to improve our industrial sector."
67,arg649666,2,1,2,2,"India has Strong Military Neighbors (China & Pakistan)...India has bad relation with Pakistan as they have territorial disputes and also fought 4 wars for this... and as far as china , India relation also become tense with china...due rise of territorial disputes and India interference in Pakistan....as Pakistan China has long term plans ....for example Pak China Economic Corridor and Gawadar Mega Oil City...."
68,arg108968,1,1,1,1,"When the U.S. fought the Brits for their independence, the Brits wore a red uniform. Every time the Americans saw a British soldier, they would yell, ""The red coats are coming, the red coats are coming.""

If India ever tried to take over the U.S., Americans would be forced to yell, ""The red dots are coming, the red dots are coming."" ;)"
69,arg596217,1,1,2,1,"yes,India has potential to lead the world.So, many countries depends on scientists.most of employees in every country is Indians."
70,arg126374,1,1,2,1,"India certainly has d potentials 2 lead d world......

in our real world power and weapons doesn't work any more

maybe...................................

maybe USA,UK or such other contries are more powerful but India is economically more strong.it is d hub 4 many other companies."
71,arg106426,1,1,2,1,"Do we have the potential?

Yes.

The only competition we have is China who has done a much better job for the long run.

But then again the way India runs.. it always makes order out of chaos."
72,arg623493,1,1,2,1,"I am an American, and I am ashamed to admit ""Merica is rich due to slavery. India never had slavery and used to be rich until the British came and took everything away. We were left in a bad state, but started developing quickly. India is much more competitive in education than America and soon when everyone has education (which will happen in our lifetime) India will excel.

India has the potential."
73,arg132483,1,1,1,1,"I already had my say in the debate and we Indians at least managed to learn these mongrel's language and we are pretty good at it. But the rest of you English gimmicks stumble in your own tongue.

I am quoting some sush102

""Hey its better dnt teach me wats da differnce between chatng nd debatng..... If i start my debate na den u bloody will b 4ced to leave dis site nd run away....""

what crap?

""dnt"" , ""ma"" ""dis""

what kind of crap is that???

It makes no difference what you say but it still remains that INDIANS are the BEST!!!!"
74,arg123380,1,1,2,1,India is a secular state.people of all communities reside here so india has the knowledge of almost all countries and the way they live. so it can easily lead all the people of world without creating any nuissance among anyone.
75,arg106091,2,2,3,2,"I believe that India is fast emerging as a hub for international trade and investment. India has provided a huge opportunity to enhance trade and investments in sectors such as mechanical and electrical engineering, food processing, automotive, tourism and banking among others. Almost every multinational company is focusing on India."
76,arg116888,2,2,2,2,"Yes. India does have the potential to lead the world. If the Indian government can look after a country with 28 states of 28 ways, culture, geographical and language, it can certainly can lead the world. For example, there is heavy rainfall in Manipur , while there is water scarcity in Rajasthan. It also has the most wonderful technological developments. Economically also India isn't that low. Eg: Chandrayaan from India discovered water on Moon. What do u say about that? And the father of astronomy, aryabhatta was from India."
77,arg260216,2,1,2,1,"i remember the only country by whose fear alexander's army was afraid

it was INDIA

after just sixty years of independence INDIA is looked as the country to become the sixth member of security council of UN

and it is also the country with a great development rate

And i know that none of us are unknown to the great contribution of INDIA in the discovery of god partical

then from where the matter comes from that INDIA is not having the pottential"
78,arg126378,3,2,3,2,"The Indian economy is galloping at a breakneck speed and might even reach double-digit growth by 2013, feel Finance Minister Pranab Mukherjee and Commerce Minister Anand Sharma. Many economists agree that the demographic dividend that India enjoys could see the country sustain its high growth rate for a long time to come.

The India growth story is indeed enviable. Despite being plagued by myriad problems, India has emerged stronger and more resilient to any global crises so far.

India is expected to be the world's fastest growing economy by 2018, according to Economist Intelligence Unit, a research arm of the Economist magazine."
79,817,2,2,2,2,"Radiometric dating can be done in many ways. Today there are over 40 different techniques to do it. It is the fact they are independent, observable, and falsifiable that makes it scientific rigor. I would recommend going tohttp://www.asa3.org/aSA/resources/Wiens.html for more information on radiometric dating."
80,80854,3,2,3,2,"Science can prove that evolution is the beginning of life.

The big bang theory is a term used to describe the bursting of molecules that begun the creation of the universe. The universe started out as a hot, dense space. Scientists know that because now nearby galaxies are moving further and further away and the universe is expanding and becoming cooler, so, in the past, the universe must have been hotter and more dense. Earth was the perfect candidate for life because it has the ""Goldilocks"" conditions. Bacteria started to form from molecules, which formed into fish, and then amphibians, then land animals, then monkeys, then humans."
81,578317615,3,2,3,2,"I call the god that creationists believe in the ""God of the Gaps."" Early man's understanding of the universe was extremely limited. People did not know that earthquakes were caused by tectonic plates shifting. Therefore the idea of earthquakes being the work of an angry deity seemed logical, but man's understanding of the universe has grown significantly. We now know that current species came to be from billions of years of evolution. Supporting creationism is holding humanity back. We need to accept the facts and let religion fade away."
82,79918,2,1,2,1,"its simple, how would we be able to adapt to different enviroments. Over time we adapted to what suited us best otherwise why arn't we one skin colour, why are there so many types of animals"
83,800,3,3,3,2,"Peppered moths is the ULTIMATE straw man.

The peppered moths experiment was a bad experiment and did not show evolution. That how ever doesn't mean that other experiments/observations don't show evolution.

There is loads of evidence to support evolution.

Genes

Fossil record

Carbon dating

Geological data

VIRUS studies

Ohh yeah, viruses.

Do you know how strains of viruses become immune to anti biotic? They evolve, and because viruses reproduce very quickly they evolve over a shorter time period and can be observed by humans.

Your flu injections are made using evolution science."
84,822,2,1,2,1,"Not it's not. But along your line of argument, believe in ""Creationism"" and ""God"" is like believing that a puzzle can be solved by waving a magic wand. I mean, God wouldn't actually touch the pieces with his godly fingers would he?

You clearly don't understand evolution. Read a book or two."
85,823,1,1,2,1,"Why not both? Why can't God have created a way for evolution to happen.

Who says that God did it himself?

Who says that God didn't cause the Big Bang or evolution to occur?

FINAL ANSWER: EVOLUTION THROUGH CREATION"
86,794,3,3,3,2,"You can actually see evolution happen. Fruit Flies are quite useful for this experiment since the breed, live, and die so quickly. You have to understand evolution happens because of mutations and they survive because those mutations have made it easier for the creature to survive then the others. ie. natural selection. Speciation is also an example of evolution... different species come about because they have adapted to a slightly different enviroment. If you look you can see evolution"
87,814,2,2,2,2,Evolution is a science. All the refutes I have seen (which I will rebuttal after this) have nothing to do with science. Their claims are theological claims. Lets first know what science is. Science is known through the scientific method. The scientific method deals only with the natural world. Creationism tries to sneak the supernatural as a scientific explanation. This is called pseudo-science.
88,12580,2,1,2,1,"That's your best argument - ""Because they don't"" ?

I thought there was a reason for everything...

I don't see the squirrel outside my window evolving. In fact, I'm pretty sure squirrels have looked and acted the same for thousands of years.

How does an animal aquire a trait that he wasn't born with? Does he just wish for it really hard and it magically grows?

And you proved my point - ""species have certain characteristics and properties""

I noticed you didn't mention that their characteristics randomly change

And by the way, I'm just wondering because I'm a curious person...

what insects are you talking about?"
89,70855,2,2,3,2,"There has to have been a creator. If you believe in 'The Big Bang', then that's fine. But what caused it? And if it was caused by certain gases reacting with each other, then where did those gases come from? It doesn't matter how you think this universe came to be. The point is that it can't have just appeared. There must have been a creator."
90,12589,2,2,2,1,"That doesn't make much sense. Why are we still evolving and the monkeys aren't?

Why aren't fish jumping out of the water and growing legs?

I mean, if it happened billions of years ago than how come its not happening today?

Why can't we find psuedo-hybrid fish with legs forming?

What caused evolution to stop happening for a mysterious time of thousands of years?"
91,28068,2,1,2,1,"""Debates are based on convincing evidence. There is very little evidence supporting creation, while there are massive amounts supporting an evolutionary argument.""

True. But, evidence must withstand the test of accepted truth. We can't say that creation is false, because there is no explanation provided for the origins of the ""particles"" that caused the evolution theory. Although the evolution theory is interesting, and quite possible, it does not rule out creation. Since creation cannot be ruled out in any way, and evolution can, creation is the best possible theory."
92,71559,2,2,3,2,"I am a nurse and the more I studied biology, the more I was in awe of the miracle of our bodies. Every tiny cell has it's own design that is even more complex than a computer. When you look at a computer do you question that there had to be a creator? Or do you need proof that this highly organized machine came to be about by a mere accident or order of circumstances? Evolutionists need more faith than Creationists."
93,12567,2,2,3,1,"The scientific rigor you mention is not present in evolutionary theory. Here's one example: In the 1800s, Charles Lyell and others came up with dates for the rock strata. Radiometric dating wasn't invented until the 1900s. When it was invented, the techniques were calibrated to match the dates Lyell came up with. To say that this proves the dates that Lyell came up with is a logical fallacy, and it sure doesn't sound like true scientific rigor to me."
94,12592,1,1,2,1,I can prove to you that humans have not evolved since the beginning of recorded history
95,arg33141,1,1,2,1,"I believe its best advancing towards the common good, but it doesn't really exist in this world. Mostly everyone is greedy, selfish, only would care about what they want, and not caring about what others would want. I believe everyone have small feeling towards the common good, but most people think they are important than anyone else in the whole world."
96,arg33099,2,1,2,1,"advancing the common good is better to me because, If i were to pursue my own personal pursuit, it wouldn't be all that good, because most of them would be selfish choices that woulld end up hurting someone else, i dont like hurting people. It would be a much better world if we thought about everyone else well being before we think about our selves."
97,arg33135,2,2,2,2,I think common good is better than personal pursuit because it's always better to assist other people. When people help each other out its more likely that everything comes out great. You get to become a role model by helping some one that needs your help. Yes personal pursuit is important when you are thinking of going to college. But than you got to think about leaving legacy behind by teaching other what you know. So the learning or society process can advance. So therefore you let others take it to the next level.
98,arg33129,2,2,3,2,"I volunteer at Irving Cares, and when I do I feel so great that I can help the community. To me when I help advance the common good I am helping myself. When people do something for the good of others it helps them out in the long run. Whether it is a favor in return or anything else. In a personal pursuit you are just helping yourself. If we all just helped ourselves where would our world be? We all depend on others for help at some point. This world should be about others, not just me."
99,arg33162,3,3,3,3,"This is planet Earth, shared by billions, not just you. If given the opportunity to advance the human race, every person alive should take it; choosing personal gain over advancing the common good is selfish. There's no other way around it. I don't want ot hear ""it's human nature to be selfish"" or any other lame excuse. The point is we all live together, and if your too greedy and self-centered to care about your surroundings and the individuals around you, your merely taking up space."
100,arg33060,2,1,2,1,I think that advancing the common good is better than personal pursuit. The reason for this is that it is better to help others than just to think about yourself. We need to improve our community first before we think about ourselves. If everyone tried to take care of their community then there would be no dangerous places.
101,arg33082,2,1,2,1,"Both endeavors are better to be part of.But I as an individual I would like to advance the common good in this society to become unpetty with each other,to do things way better than they use to.Everyone in this world knows what they want to be. To be alone pursuing their dreams without the help of others, but some other will help the community to make it safe and better.To teach them what they are capable of,to beleive in themselfs that they can do as the things wealthy people does."
102,arg33119,2,1,2,1,"I fell like advancing the common goods is better than personal pursuit because most people will look out for themselves rather than look out for others. Looking out for yourself before lookin out for others won't do alot of good in the long run. I believe in the what goes around comes around thing so when you do something for other people before you try to please yourself, not only does it help them but something good will also come back to you helping you better yourself."
103,arg33089,2,1,2,1,"The ability to do both would be awesome, but since I have to choose I'd rather help others in any way I can. Even a little thing can impact someone's life, like being a friend or helping them with getting their needs to survive life."
104,arg33075,3,2,3,2,"While striving to make advancements for the common good you can change the world forever.

Allot of people have succeded in doing so. Our founding fathers, Thomas Edison, George Washington, Martin Luther King jr, and many more. These people made huge advances for the common good and they are honored for it."
105,arg33070,2,2,3,2,I believe it is more important to have personal pursuit because if you even want to begin to help others you have to help yourself. It's not bad to want to help the common good but if you're always putting other people before yourself you may start to forget about your own needs and wants in life. But I do think that you can have a balance of both.
106,arg33127,2,2,3,2,I think that personal pursuit is more important because in order to help others you have to help yourself first. At the time it may seem selfish but once that you get to a point that you are good at what your doing then you can help others do the same. So not only are you helping yourself but you are also helping others.
107,arg33115,2,2,3,1,"I think i will go with personal persuit because no matter what we do we think of ourself first. I think its the human nature.But personal pursuit does not mean being selfish and only caring about oneself.I need to think about me first,success and then think of others. Everyone does think of themselves before thinking about others. First i need to make me happy to make others happy. This way i can make my life better and be who i am."
108,arg33118,2,1,1,1,"I believe personal pursuit its better, because its your job to decide what you want to do with your life. Your not always going to have someone by your side telling you whats right or wrong. Its all on you of reaching their goals. Its also a good thing to help other reach their succeed their goals."
109,arg33143,1,1,2,1,"I feel that a personal pursuit is a better endeavor. Your personal pursuit should come first before anyone else's. But then again I really don't know, because if someone in your family is in need of something then you're going to do anything help that family member out. I believe that helping someone in your family is just something you do no matter what because they're blood. If someone who you don't know is in need at the same time as someone who is related to you, you're going to help the family member out instead of the random person you don't know."
110,arg33086,2,2,2,2,"A personal pursuit is a better endeavor because you are fulfilling something within yourself. It is important to help others but there is a time to do so. Achieving a personal goal is a journey to fulfillment where one is truly happy. Before helping others you must remember about yourself, but you must not forget about those who are really in need."
111,arg33069,1,1,2,1,"Human nature is to endeavor personal pursuit. If you assume that human nature is to endeavor advancing the common good, then you're going to get screwed by someone who endeavors personal pursuit. Most Americans endeavor advancing the common good; which is why they get screwed by politicians who endeavor personal pursuit. If everyone endeavors personal pursuit, then we would keep each other in check. It is easier to get most people to endeavor personal pursuit than it is to get most people to endeavor advancing the common good; which is why communism failed."
112,arg33126,2,2,2,2,Helping others for the common good can give you a feeling of pride but you have to have the means to be able to help the other person. To have those means you first have to have personal pursuit. I don't think one is better than the other but you first have to have personal pursuit before you can have common good. However for some people their personal pursuit can be the advancement of the common good.
113,arg33105,2,2,2,2,"it is better to help yourself before you can help others. for instance, if you don't have your life together how are you going to help someone else with theirs. if your still living at home with your mother and you don't have a job and one want to help out by giving to an organization you couldn't do it. so basically you have to help yourself before you can help others."
114,arg33123,2,2,2,2,"In order to help advance a common good, you must first realize what is your common good. You have to know when you are that better person to then spread your good to other people. You can't just assume that you are a great person if you don't have anything to show it. If you desire to see a world full of all this goodness, YOU have to be that spark that starts the fire."
115,390,3,3,3,2,"firefox is much better.

It remembers passwords with greater gusto.

add-ons allow you to personalize your browser in every way. I love - tabs (aging and remembering them when you close the browser, weatherfox, gestures,

there is even a tab that lets you display the page in IE format if something is incompatible (rare, only SAP at work)

and the way you can put the link logos in the tool bar rocks.

much friendlier and a better browser, and not just because i don't want to support MS. Because i don't care about that, a good product is a good product."
116,458,2,2,3,2,Mozilla Firefox can be used for everything! There are also plugins so that you can use the internet explorer engine in the firefox shell. It has many more plugins and the themes are a nice feature. all of the innovations in E 7.0 were in firefox years ago.
117,460,2,2,3,2,Firefox takes the best of all previous browsers and sticks it all in one neat package. Security and extendibility are some of its top features. And those times when FF seems to eat up a lot of memory? That's just the cache so you're able to surf the net even faster. Just lower the cache if you don't want to eat so much memory.
118,477,2,2,2,2,"From a design standpoint, Firefox absolutely wins the Pretty Browser battle.

There is such an array of beautiful skins out there for Firefox, and when you add that to the amount of Toolbar and UI customization that Firefox supports, the 'Fox is the clear-cut winner.

And since I assume most of the people debating the superiority of one browser or another are Intraweb junkies, I know everyone uses their browser quite often.

Who wants to look at an ugly UI like that of every IE (7 is the most criminal of them all)?"
119,468,2,2,3,1,Firefox has the user made extensions which cater for the user based community therefore it wins
